"nameOfIssuer","cusip","valueUSD","percent","shares","sharePrice"
"CHENIERE ENERGY INC","16411R208",900122000,11.7356850892384,21726340,41.4299877475912
"VIASAT INC","92552V100",871332000,11.3603244451045,13158137,66.2200127571251
"SYNCHRONY FINL","87165B103",749520000,9.7721538725706,20665000,36.2700217759497
"ALLERGAN PLC","G0177J108",720881000,9.39876194873061,3432603,210.010012809521
"TWENTY FIRST CENTY FOX INC","90130A101",536615000,6.99632344744566,19137469,28.0400192940874
"PBF ENERGY INC","69318G106",438390000,5.71567741514066,15724175,27.8800000635963
"DELL TECHNOLOGIES INC","24703L103",365686000,4.76777118828698,6652459,54.9700494208232
"ANTERO RES CORP","03674X106",343064000,4.47282820490389,14505881,23.6499940954982
"THERAVANCE BIOPHARMA INC","G8807B106",295655000,3.8547152220019,9273991,31.8800179987235
"NORTHSTAR ASSET MGMT GROUP I","66705Y104",279079000,3.63859927767522,18705000,14.9200213846565
"NORTHSTAR RLTY FIN CORP","66704R803",220844000,2.87933817621142,14577134,15.1500288053879
"TWENTY FIRST CENTY FOX INC","90130A200",198328000,2.58577720839895,7278100,27.2499690853382
"VERITIV CORP","923454102",163636000,2.13346698032336,3044385,53.7501005950299
"INNOVIVA INC","45781M101",159767000,2.08302341199566,14931483,10.7000088336838
"KERYX BIOPHARMACEUTICALS INC","492515101",151139000,1.97053255970014,25791678,5.85999096297651
"COLONY CAP INC","19624R106",140920000,1.83729843596255,6959017,20.2499864564205
"MCKESSON CORP","58155Q103",140450000,1.83117063107394,1e+06,140.45
"FORWARD PHARMA A/S","34986J105",80510000,1.04967993953551,5367300,15.0000931567082
"ATARA BIOTHERAPEUTICS INC","046513107",76107000,0.992274141823742,5359632,14.2000420924422
"CARDINAL HEALTH INC","14149Y108",74129000,0.966485209760628,1030000,71.9699029126214
"LIBERTY MEDIA CORP DELAWARE","531229888",61647000,0.803746357378536,2994010,20.5901115894737
"AMERICAN INTL GROUP INC","026874156",60863000,0.793524657309031,2594317,23.4601245722863
"SYNGENTA AG","87160A100",58903000,0.767970407135268,745136,79.0499989263705
"LIBERTY INTERACTIVE CORP","53071M856",54631000,0.71227257206266,1481719,36.8700138150351
"CREDIT ACCEP CORP MICH","225310101",53159000,0.693080808666854,244400,217.508183306056
"CHIPMOS TECHNOLOGIES INC","16965P103",49524000,0.645688104900718,3509858,14.1099725401996
"GTY TECHNOLOGY HOLDINGS INC","G4182A110",46200000,0.602350182667256,4400000,10.5
"CENTENNIAL RESOURCE DEV INC","15136A102",43567000,0.568021437408319,2407153,18.098974182364
"NOVAGOLD RES INC","66987E206",43320000,0.564801080371116,9500000,4.56
"AMERISOURCEBERGEN CORP","03073E105",39288000,0.512232337156519,502474,78.1891202330867
"THERAVANCE INC","88338TAB0",38371000,0.500276598682366,46230000,0.830002163097556
"CONYERS PK ACQUISITION","212894109",37979000,0.495165748647613,3712500,10.2300336700337
"THERAVANCE BIOPHARMA INC","88339KAA0",34059000,0.444057248300088,3e+07,1.1353
"PARATEK PHARMACEUTICALS INC","699374302",31485000,0.410497738122913,2044498,15.3998683295362
"SABAN CAP ACQUISITION CORP","78516C106",23265000,0.303326341986011,2326500,10
"CASCADIAN THERAPEUTICS INC","14740B606",17958000,0.234134298275727,4166666,4.30992068958731
"LIBERTY MEDIA CORP DELAWARE","531229706",16392000,0.2137169739022,8e+05,20.49
"LIBERTY EXPEDIA HOLDINGS","53046P109",15694000,0.204616531748483,395613,39.6700816201692
"SUNRUN INC","86771W105",15123000,0.197171900702964,2848082,5.30988925178418
"CITIGROUP INC","172967226",9561000,0.124655196893542,62903207,0.151995430058121
"TRILOGY METALS INC NEW","89621C105",5339000,0.0696092559580191,10600758,0.50364323004072
"OREXIGEN THERAPEUTICS INC","686164302",3875000,0.0505217956241476,2226839,1.74013478298162
"CONYERS PK ACQUISITION","212894117",2475000,0.0322687597857459,1237500,2
"SABAN CAP ACQUISITION CORP","78516C114",1105000,0.0144068604295956,1163250,0.949924779712014
